feature_set,model,calibration,n_features,cv_type,n_folds,auc,logloss,brier,accuracy,f1,site_auc_mean,site_auc_std,site_logloss_mean,site_logloss_std,elapsed
SBR_PHYS,LGB,temp,201,site_aware,5,0.8362316474570367,0.49545505540181933,0.16383562873366828,0.7599118942731278,0.7721254355400697,0.8570158723255599,0.10049694260604473,0.48288805135241725,0.12733501296332378,33.16612887382507
SBR_PHYS,LGB,gamma,201,site_aware,5,0.8363578977155233,0.49430947816056525,0.1635566902164789,0.7599118942731278,0.7721254355400697,0.8570158723255599,0.10049694260604473,0.4827095352828662,0.1273129263640282,33.16612887382507
SBR_CNN,LR,raw,108,site_aware,5,0.9303338013299811,0.3644523757097167,0.1060138522658051,0.8590308370044053,0.8733509234828496,0.9043498126967133,0.08304336660392872,0.4144294534743456,0.3073324416238657,1.120812177658081
SBR_CNN,LR,platt,108,site_aware,5,0.9184532166606808,0.38148454382177205,0.11350758398689847,0.8546255506607929,0.8707571801566579,0.9043498126967133,0.08304336660392872,0.3931019807925143,0.21946096471763335,1.120812177658081
SBR_CNN,LR,isotonic,108,site_aware,5,0.9170905845604641,0.4069022038048122,0.10498316532655796,0.8649045521292217,0.876010781671159,0.9040640679754846,0.08483106915661999,0.38832194820453786,0.2647368675488612,1.120812177658081
SBR_CNN,LR,temp,108,site_aware,5,0.9257430807239799,0.3729673910533316,0.11045333140502962,0.8590308370044053,0.8733509234828496,0.9043498126967133,0.08304336660392872,0.38602399197536713,0.24227933919863884,1.120812177658081
SBR_CNN,LR,gamma,108,site_aware,5,0.9285510606110078,0.35482552327758377,0.10591388919206529,0.8590308370044053,0.8733509234828496,0.9043498126967133,0.08304336660392872,0.38319683433289575,0.24283136029224842,1.120812177658081
SBR_CNN,Ridge,raw,108,site_aware,5,0.9371295480023074,0.45140519464395723,0.13297906692698244,0.8619676945668135,0.8729729729729729,0.9374843693738425,0.057749669892144785,0.47710744764647056,0.1596235607542571,0.42681050300598145
SBR_CNN,Ridge,platt,108,site_aware,5,0.932710788955279,0.44155034264548537,0.13400105912274118,0.8612334801762115,0.8763897972531066,0.9374843693738425,0.057749669892144785,0.3845710669121791,0.09336320213578864,0.42681050300598145
SBR_CNN,Ridge,isotonic,108,site_aware,5,0.9233595629128983,0.3930193870479907,0.1016948607816325,0.869309838472834,0.8777472527472527,0.9257443577899387,0.06124806742633167,0.3217996432768807,0.1551975355269738,0.42681050300598145
SBR_CNN,Ridge,temp,108,site_aware,5,0.9312785015400354,0.3504462808079031,0.10190645483652361,0.8619676945668135,0.8729729729729729,0.9374843693738425,0.057749669892144785,0.3252520666754673,0.1972629944721589,0.42681050300598145
SBR_CNN,Ridge,gamma,108,site_aware,5,0.9366680815402533,0.35854728762469146,0.10275515325230722,0.8619676945668135,0.8729729729729729,0.9374843693738425,0.057749669892144785,0.3614792983966574,0.17952342172184754,0.42681050300598145
SBR_CNN,ET,raw,108,site_aware,5,0.9352140268390636,0.32102072915688656,0.09862495323959644,0.8671071953010279,0.8724453840732911,0.9507370951904018,0.05123348990575553,0.29031381595651123,0.0905240653710212,15.934672832489014
SBR_CNN,ET,platt,108,site_aware,5,0.9336424287937659,0.36290442336881534,0.10633253212182911,0.869309838472834,0.8742937853107344,0.9507370951904018,0.05123348990575553,0.3208566408060731,0.08041819112809469,15.934672832489014
